Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-15T16:45:22.410Z","","","Included","claude-4.6-opus-high-thinking","No","108175","9","628870","4057","741111","Included"
"2026-03-15T16:44:21.204Z","","","Included","claude-4.6-opus-high-thinking","No","0","0","0","0","0","Included"
"2026-03-15T15:59:22.742Z","","","On-Demand","claude-4.6-opus-high-thinking","No","255233","93186","5904871","48993","6302283","5.60"
"2026-03-15T15:55:20.543Z","","","On-Demand","claude-4.6-opus-high-thinking","No","139669","6","382264","13650","535589","1.41"
"2026-03-15T15:46:43.505Z","","","On-Demand","claude-4.6-opus-high-thinking","No","217482","8","212897","13493","443880","1.80"
"2026-03-15T15:39:11.287Z","","","On-Demand","claude-4.6-opus-high-thinking","No","1012","3","98495","2194","101704","0.11"
"2026-03-15T15:37:19.863Z","","","On-Demand","claude-4.6-opus-high-thinking","No","4442","3","94053","518","99016","0.09"
"2026-03-15T15:32:31.877Z","","","On-Demand","claude-4.6-opus-high-thinking","No","7881","5","263824","4496","276206","0.29"
"2026-03-15T15:27:27.987Z","","","On-Demand","claude-4.6-opus-high-thinking","No","10147","9","574340","2887","587383","0.42"
"2026-03-15T15:20:32.337Z","","","Included","auto","No","0","21925","1686016","3350","1711291","Included"
"2026-03-15T15:17:56.401Z","","","Included","auto","No","0","132347","1105920","3701","1241968","Included"
"2026-03-15T15:16:42.574Z","","","Included","auto","No","0","0","0","0","0","Included"
"2026-03-15T15:13:52.065Z","","","On-Demand","claude-4.6-opus-high-thinking","No","247593","147968","2024894","38189","2458644","3.33"
"2026-03-15T14:47:28.816Z","","","On-Demand","claude-4.6-opus-high-thinking","No","1595","146585","180767","17130","346077","0.23"
"2026-03-15T14:45:05.845Z","","","On-Demand","claude-4.6-opus-high-thinking","No","3848","4","354985","1335","360172","0.23"
"2026-03-15T14:38:11.067Z","","","On-Demand","claude-4.6-opus-high-thinking","No","176919","21","3089501","14970","3281411","3.02"
"2026-03-15T14:24:26.585Z","","","On-Demand","claude-4.6-opus-high-thinking","No","150352","7","592176","2599","745134","1.30"
"2026-03-15T13:54:28.690Z","","","Included","auto","No","0","16358","1367552","6267","1390177","Included"
"2026-03-15T13:51:52.944Z","","","On-Demand","claude-4.6-opus-high-thinking","No","46791","35","4187640","32857","4267323","3.21"
"2026-03-15T13:49:30.172Z","","","On-Demand","claude-4.6-opus-high-thinking","No","97663","4","71987","5218","174872","0.78"
"2026-03-15T13:47:17.330Z","","","Included","auto","No","0","18999","1014272","9528","1042799","Included"
"2026-03-15T13:39:06.140Z","","","Included","auto","No","0","97970","1400320","7078","1505368","Included"
"2026-03-15T13:36:33.420Z","","","On-Demand","claude-4.6-opus-high-thinking","No","64065","129471","3333156","29989","3556681","2.68"
"2026-03-15T13:27:54.936Z","","","On-Demand","claude-4.6-opus-high-thinking","No","20805","34","5240397","15753","5276989","3.14"
"2026-03-15T13:26:01.427Z","","","On-Demand","claude-4.6-opus-high-thinking","No","2254","3","148784","1380","152421","0.12"
"2026-03-15T13:20:41.029Z","","","On-Demand","claude-4.6-opus-high-thinking","No","148784","4","147993","2203","298984","1.06"
"2026-03-15T13:12:43.874Z","","","On-Demand","claude-4.5-sonnet","No","10232","51","144513","2595","157391","0.12"
"2026-03-15T13:09:38.123Z","","","On-Demand","claude-4.5-sonnet","No","31063","77","154879","2402","188421","0.20"
"2026-03-15T13:04:15.565Z","","","On-Demand","claude-4.6-opus-high-thinking","No","33116","17688","5166826","19077","5236707","3.26"
"2026-03-15T12:58:31.373Z","","","On-Demand","claude-4.6-opus-high-thinking","No","113998","18","1477553","11022","1602591","1.73"
"2026-03-15T12:55:50.214Z","","","On-Demand","claude-4.6-opus-high-thinking","No","2968","3","68888","5626","77485","0.19"
"2026-03-15T12:52:21.733Z","","","On-Demand","claude-4.6-opus-high-thinking","No","3339","3","65549","2529","71420","0.12"
"2026-03-15T12:50:43.533Z","","","On-Demand","claude-4.6-opus-high-thinking","No","11403","4","110617","3075","125099","0.20"
"2026-03-15T12:46:05.107Z","","","On-Demand","claude-4.6-opus-high-thinking","No","54146","25641","155574","3925","239286","0.51"
"2026-03-15T12:11:59.207Z","","","On-Demand","claude-4.6-opus-high-thinking","No","63331","4934","477157","20969","566391","0.86"
"2026-03-15T12:09:33.036Z","","","On-Demand","claude-4.6-opus-high-thinking","No","4450","112433","1126740","3700","1247323","0.61"
"2026-03-15T12:07:57.387Z","","","On-Demand","claude-4.6-opus-high-thinking","No","4044","5","530960","3428","538437","0.38"
"2026-03-15T12:04:41.854Z","","","On-Demand","claude-4.6-opus-high-thinking","No","13183","6","672377","3962","689528","0.52"
"2026-03-15T12:02:31.063Z","","","On-Demand","claude-4.6-opus-high-thinking","No","3171","6","641113","2467","646757","0.40"
"2026-03-15T11:54:02.536Z","","","On-Demand","claude-4.6-opus-high-thinking","No","19555","5","430606","9994","460160","0.59"
"2026-03-15T11:50:54.917Z","","","On-Demand","claude-4.6-opus-high-thinking","No","4002","4","279272","1133","284411","0.19"
"2026-03-15T11:49:03.333Z","","","On-Demand","claude-4.6-opus-high-thinking","No","13796","7","662816","4120","680739","0.52"
"2026-03-15T11:48:14.475Z","","","On-Demand","claude-4.6-opus-high-thinking","No","4309","3","121212","1516","127040","0.13"
"2026-03-15T11:45:53.767Z","","","On-Demand","claude-4.6-opus-high-thinking","No","4263","3","116949","3966","125181","0.18"
"2026-03-15T11:43:01.115Z","","","On-Demand","claude-4.6-opus-high-thinking","No","1256","3","115693","3922","120874","0.16"
"2026-03-15T11:39:23.107Z","","","On-Demand","claude-4.6-opus-high-thinking","No","11245","6","436901","6528","454680","0.45"
